Date,Open,High,Low,Close,Adj Close,Volume
2022-10-24,62.720001,63.279999,61.959999,62.880001,62.744110,918000
2022-10-25,62.700001,64.989998,62.630001,64.709999,64.570152,1206500
2022-10-26,64.360001,65.150002,64.129997,64.139999,64.001389,1233700
2022-10-27,65.129997,65.610001,63.730000,63.980000,63.841732,1021200
2022-10-28,64.260002,66.180000,63.880001,65.349998,65.208763,1203300
2022-10-31,64.769997,65.290001,64.139999,64.250000,64.111153,997900
2022-11-01,65.000000,66.300003,64.820000,66.050003,65.907257,1320300
2022-11-02,65.320000,65.650002,63.610001,63.669998,63.532398,1265800
2022-11-03,62.570000,63.720001,61.639999,63.040001,62.903767,873500
2022-11-04,64.589996,66.089996,63.459999,63.980000,63.841732,1056700
2022-11-07,64.010002,64.010002,61.689999,62.720001,62.584457,1364600
2022-11-08,63.110001,64.470001,62.849998,63.549999,63.412659,1105500
2022-11-09,62.900002,64.000000,62.270000,62.410000,62.275124,1275700
2022-11-10,65.180000,65.360001,63.509998,64.389999,64.250839,2307600
2022-11-11,64.980003,67.099998,64.940002,66.120003,65.977104,1985900
2022-11-14,65.680000,68.220001,65.529999,66.500000,66.436668,1519900
2022-11-15,67.660004,68.760002,66.889999,67.309998,67.245895,1154400
2022-11-16,66.690002,67.139999,66.209999,66.669998,66.606506,1246600
2022-11-17,65.750000,68.169998,65.300003,67.589996,67.525627,1232200
2022-11-18,68.540001,69.480003,67.860001,69.370003,69.303940,1184700
2022-11-21,68.910004,69.760002,68.500000,69.220001,69.154076,1431300
2022-11-22,69.760002,70.860001,69.209999,70.769997,70.702599,1422000
2022-11-23,70.800003,71.790001,70.300003,70.449997,70.382904,830000
2022-11-25,70.169998,70.839996,70.099998,70.629997,70.562729,264700
2022-11-28,69.900002,70.089996,69.000000,69.089996,69.024200,814500
2022-11-29,69.099998,69.730003,68.330002,68.889999,68.824394,863700
2022-11-30,69.000000,72.449997,68.529999,72.190002,72.121254,1611100
2022-12-01,72.360001,73.330002,71.959999,72.550003,72.480911,1059800
2022-12-02,71.639999,72.809998,71.500000,71.769997,71.701645,1002800
2022-12-05,71.040001,71.650002,70.330002,70.879997,70.812492,866200
2022-12-06,70.639999,71.419998,70.250000,70.779999,70.712593,1203300
2022-12-07,70.309998,71.019997,69.910004,70.580002,70.512787,816300
2022-12-08,71.070000,72.199997,71.000000,71.750000,71.681671,1115400
2022-12-09,71.260002,72.129997,71.000000,71.470001,71.401939,1060800
2022-12-12,71.489998,72.410004,71.029999,72.050003,71.981384,1028400
2022-12-13,72.919998,73.790001,72.040001,72.860001,72.790611,1474800
2022-12-14,72.660004,73.269997,71.139999,72.599998,72.530853,2103100
2022-12-15,71.330002,72.300003,68.220001,68.349998,68.284904,2043300
2022-12-16,68.000000,69.370003,67.500000,69.070000,69.004219,3174200
2022-12-19,69.230003,69.620003,67.730003,68.239998,68.175011,1047500
2022-12-20,68.239998,69.570000,68.209999,69.190002,69.124107,1143400
